0000..002C  ; DISALLOWED  # <control>..COMMA
0AE4..0AE5  ; UNASSIGNED  # <reserved>..<reserved>
0AE6..0AEF  ; PVALID      # GUJARATI DIGIT ZERO..GUJARATI DIGIT NINE
0AF0..0AF1  ; DISALLOWED  # GUJARATI ABBREVIATION SIGN..GUJARATI RUPEE S
0AF2..0AF8  ; UNASSIGNED  # <reserved>..<reserved>
0AF9..0AFF  ; PVALID      # GUJARATI LETTER ZHA..GUJARATI SIGN TWO-CIRCL
0B00        ; UNASSIGNED  # <reserved>
0B01..0B03  ; PVALID      # ORIYA SIGN CANDRABINDU..ORIYA SIGN VISARGA
0B04        ; UNASSIGNED  # <reserved>
0B05..0B0C  ; PVALID      # ORIYA LETTER A..ORIYA LETTER VOCALIC L
0B0D..0B0E  ; UNASSIGNED  # <reserved>..<reserved>
0B0F..0B10  ; PVALID      # ORIYA LETTER E..ORIYA LETTER AI
0B11..0B12  ; UNASSIGNED  # <reserved>..<reserved>
0B13..0B28  ; PVALID      # ORIYA LETTER O..ORIYA LETTER NA
0B29        ; UNASSIGNED  # <reserved>
0B2A..0B30  ; PVALID      # ORIYA LETTER PA..ORIYA LETTER RA
0B31        ; UNASSIGNED  # <reserved>
0B32..0B33  ; PVALID      # ORIYA LETTER LA..ORIYA LETTER LLA
0B34        ; UNASSIGNED  # <reserved>
0B35..0B39  ; PVALID      # ORIYA LETTER VA..ORIYA LETTER HA
0B3A..0B3B  ; UNASSIGNED  # <reserved>..<reserved>
0B3C..0B44  ; PVALID      # ORIYA SIGN NUKTA..ORIYA VOWEL SIGN VOCALIC R
0B45..0B46  ; UNASSIGNED  # <reserved>..<reserved>
0B47..0B48  ; PVALID      # ORIYA VOWEL SIGN E..ORIYA VOWEL SIGN AI
0B49..0B4A  ; UNASSIGNED  # <reserved>..<reserved>
0B4B..0B4D  ; PVALID      # ORIYA VOWEL SIGN O..ORIYA SIGN VIRAMA
0B4E..0B54  ; UNASSIGNED  # <reserved>..<reserved>
0B55..0B57  ; PVALID      # ORIYA SIGN OVERLINE..ORIYA AU LENGTH MARK
0B58..0B5B  ; UNASSIGNED  # <reserved>..<reserved>
0B5C..0B5D  ; DISALLOWED  # ORIYA LETTER RRA..ORIYA LETTER RHA
0B5E        ; UNASSIGNED  # <reserved>
0B5F..0B63  ; PVALID      # ORIYA LETTER YYA..ORIYA VOWEL SIGN VOCALIC L
0B64..0B65  ; UNASSIGNED  # <reserved>..<reserved>
0B66..0B6F  ; PVALID      # ORIYA DIGIT ZERO..ORIYA DIGIT NINE
0B70        ; DISALLOWED  # ORIYA ISSHAR
0B71        ; PVALID      # ORIYA LETTER WA
0B72..0B77  ; DISALLOWED  # ORIYA FRACTION ONE QUARTER..ORIYA FRACTION T
0B78..0B81  ; UNASSIGNED  # <reserved>..<reserved>
0B82..0B83  ; PVALID      # TAMIL SIGN ANUSVARA..TAMIL SIGN VISARGA
0B84        ; UNASSIGNED  # <reserved>
0B85..0B8A  ; PVALID      # TAMIL LETTER A..TAMIL LETTER UU
0B8B..0B8D  ; UNASSIGNED  # <reserved>..<reserved>
0B8E..0B90  ; PVALID      # TAMIL LETTER E..TAMIL LETTER AI
0B91        ; UNASSIGNED  # <reserved>
0B92..0B95  ; PVALID      # TAMIL LETTER O..TAMIL LETTER KA
0B96..0B98  ; UNASSIGNED  # <reserved>..<reserved>
0B99..0B9A  ; PVALID      # TAMIL LETTER NGA..TAMIL LETTER CA
0B9B        ; UNASSIGNED  # <reserved>
0B9C        ; PVALID      # TAMIL LETTER JA
0B9D        ; UNASSIGNED  # <reserved>
0B9E..0B9F  ; PVALID      # TAMIL LETTER NYA..TAMIL LETTER TTA
0BA0..0BA2  ; UNASSIGNED  # <reserved>..<reserved>
0BA3..0BA4  ; PVALID      # TAMIL LETTER NNA..TAMIL LETTER TA
0BA5..0BA7  ; UNASSIGNED  # <reserved>..<reserved>
0BA8..0BAA  ; PVALID      # TAMIL LETTER NA..TAMIL LETTER PA
0BAB..0BAD  ; UNASSIGNED  # <reserved>..<reserved>
0BAE..0BB9  ; PVALID      # TAMIL LETTER MA..TAMIL LETTER HA
0BBA..0BBD  ; UNASSIGNED  # <reserved>..<reserved>
0BBE..0BC2  ; PVALID      # TAMIL VOWEL SIGN AA..TAMIL VOWEL SIGN UU
0BC3..0BC5  ; UNASSIGNED  # <reserved>..<reserved>
0BC6..0BC8  ; PVALID      # TAMIL VOWEL SIGN E..TAMIL VOWEL SIGN AI
0BC9        ; UNASSIGNED  # <reserved>
0BCA..0BCD  ; PVALID      # TAMIL VOWEL SIGN O..TAMIL SIGN VIRAMA
0BCE..0BCF  ; UNASSIGNED  # <reserved>..<reserved>
0BD0        ; PVALID      # TAMIL OM
0BD1..0BD6  ; UNASSIGNED  # <reserved>..<reserved>
0BD7        ; PVALID      # TAMIL AU LENGTH MARK
0BD8..0BE5  ; UNASSIGNED  # <reserved>..<reserved>
0BE6..0BEF  ; PVALID      # TAMIL DIGIT ZERO..TAMIL DIGIT NINE
0BF0..0BFA  ; DISALLOWED  # TAMIL NUMBER TEN..TAMIL NUMBER SIGN
0BFB..0BFF  ; UNASSIGNED  # <reserved>..<reserved>
0C00..0C0C  ; PVALID      # TELUGU SIGN COMBINING CANDRABINDU ABOVE..TEL
0C0D        ; UNASSIGNED  # <reserved>
0C0E..0C10  ; PVALID      # TELUGU LETTER E..TELUGU LETTER AI
0C11        ; UNASSIGNED  # <reserved>
0C12..0C28  ; PVALID      # TELUGU LETTER O..TELUGU LETTER NA
0C29        ; UNASSIGNED  # <reserved>
0C2A..0C39  ; PVALID      # TELUGU LETTER PA..TELUGU LETTER HA
0C3A..0C3C  ; UNASSIGNED  # <reserved>..<reserved>
0C3D..0C44  ; PVALID      # TELUGU SIGN AVAGRAHA..TELUGU VOWEL SIGN VOCA
0C45        ; UNASSIGNED  # <reserved>
0C46..0C48  ; PVALID      # TELUGU VOWEL SIGN E..TELUGU VOWEL SIGN AI
0C49        ; UNASSIGNED  # <reserved>
0C4A..0C4D  ; PVALID      # TELUGU VOWEL SIGN O..TELUGU SIGN VIRAMA
0C4E..0C54  ; UNASSIGNED  # <reserved>..<reserved>
0C55..0C56  ; PVALID      # TELUGU LENGTH MARK..TELUGU AI LENGTH MARK
0C57        ; UNASSIGNED  # <reserved>
0C58..0C5A  ; PVALID      # TELUGU LETTER TSA..TELUGU LETTER RRRA
0C5B..0C5F  ; UNASSIGNED  # <reserved>..<reserved>
0C60..0C63  ; PVALID      # TELUGU LETTER VOCALIC RR..TELUGU VOWEL SIGN 
0C64..0C65  ; UNASSIGNED  # <reserved>..<reserved>
0C66..0C6F  ; PVALID      # TELUGU DIGIT ZERO..TELUGU DIGIT NINE
0C70..0C76  ; UNASSIGNED  # <reserved>..<reserved>
0C77..0C7F  ; DISALLOWED  # TELUGU SIGN SIDDHAM..TELUGU SIGN TUUMU
0C80..0C83  ; PVALID      # KANNADA SIGN SPACING CANDRABINDU..KANNADA SI
0C84        ; DISALLOWED  # KANNADA SIGN SIDDHAM
0C85..0C8C  ; PVALID      # KANNADA LETTER A..KANNADA LETTER VOCALIC L
0C8D        ; UNASSIGNED  # <reserved>
0C8E..0C90  ; PVALID      # KANNADA LETTER E..KANNADA LETTER AI
0C91        ; UNASSIGNED  # <reserved>
0C92..0CA8  ; PVALID      # KANNADA LETTER O..KANNADA LETTER NA
0CA9        ; UNASSIGNED  # <reserved>
0CAA..0CB3  ; PVALID      # KANNADA LETTER PA..KANNADA LETTER LLA
0CB4        ; UNASSIGNED  # <reserved>
0CB5..0CB9  ; PVALID      # KANNADA LETTER VA..KANNADA LETTER HA
0CBA..0CBB  ; UNASSIGNED  # <reserved>..<reserved>
0CBC..0CC4  ; PVALID      # KANNADA SIGN NUKTA..KANNADA VOWEL SIGN VOCAL
0CC5        ; UNASSIGNED  # <reserved>
0CC6..0CC8  ; PVALID      # KANNADA VOWEL SIGN E..KANNADA VOWEL SIGN AI
0CC9        ; UNASSIGNED  # <reserved>
0CCA..0CCD  ; PVALID      # KANNADA VOWEL SIGN O..KANNADA SIGN VIRAMA
0CCE..0CD4  ; UNASSIGNED  # <reserved>..<reserved>
0CD5..0CD6  ; PVALID      # KANNADA LENGTH MARK..KANNADA AI LENGTH MARK
0CD7..0CDD  ; UNASSIGNED  # <reserved>..<reserved>
0CDE        ; PVALID      # KANNADA LETTER FA
0CDF        ; UNASSIGNED  # <reserved>
0CE0..0CE3  ; PVALID      # KANNADA LETTER VOCALIC RR..KANNADA VOWEL SIG
0CE4..0CE5  ; UNASSIGNED  # <reserved>..<reserved>
0CE6..0CEF  ; PVALID      # KANNADA DIGIT ZERO..KANNADA DIGIT NINE
0CF0        ; UNASSIGNED  # <reserved>
0CF1..0CF2  ; PVALID      # KANNADA SIGN JIHVAMULIYA..KANNADA SIGN UPADH
0CF3..0CFF  ; UNASSIGNED  # <reserved>..<reserved>
0D00..0D0C  ; PVALID      # MALAYALAM SIGN COMBINING ANUSVARA ABOVE..MAL
0D0D        ; UNASSIGNED  # <reserved>
0D0E..0D10  ; PVALID      # MALAYALAM LETTER E..MALAYALAM LETTER AI
0D11        ; UNASSIGNED  # <reserved>
0D12..0D44  ; PVALID      # MALAYALAM LETTER O..MALAYALAM VOWEL SIGN VOC
0D45        ; UNASSIGNED  # <reserved>
0D46..0D48  ; PVALID      # MALAYALAM VOWEL SIGN E..MALAYALAM VOWEL SIGN
0D49        ; UNASSIGNED  # <reserved>
0D4A..0D4E  ; PVALID      # MALAYALAM VOWEL SIGN O..MALAYALAM LETTER DOT
0D4F        ; DISALLOWED  # MALAYALAM SIGN PARA
0D50..0D53  ; UNASSIGNED  # <reserved>..<reserved>
0D54..0D57  ; PVALID      # MALAYALAM LETTER CHILLU M..MALAYALAM AU LENG
0D58..0D5E  ; DISALLOWED  # MALAYALAM FRACTION ONE ONE-HUNDRED-AND-SIXTI
0D5F..0D63  ; PVALID      # MALAYALAM LETTER ARCHAIC II..MALAYALAM VOWEL
0D64..0D65  ; UNASSIGNED  # <reserved>..<reserved>
0D66..0D6F  ; PVALID      # MALAYALAM DIGIT ZERO..MALAYALAM DIGIT NINE
0D70..0D79  ; DISALLOWED  # MALAYALAM NUMBER TEN..MALAYALAM DATE MARK
0D7A..0D7F  ; PVALID      # MALAYALAM LETTER CHILLU NN..MALAYALAM LETTER
0D80        ; UNASSIGNED  # <reserved>
0D81..0D83  ; PVALID      # SINHALA SIGN CANDRABINDU..SINHALA SIGN VISAR
0D84        ; UNASSIGNED  # <reserved>
0D85..0D96  ; PVALID      # SINHALA LETTER AYANNA..SINHALA LETTER AUYANN
0D97..0D99  ; UNASSIGNED  # <reserved>..<reserved>
0D9A..0DB1  ; PVALID      # SINHALA LETTER ALPAPRAANA KAYANNA..SINHALA L
0DB2        ; UNASSIGNED  # <reserved>
0DB3..0DBB  ; PVALID      # SINHALA LETTER SANYAKA DAYANNA..SINHALA LETT
0DBC        ; UNASSIGNED  # <reserved>
0DBD        ; PVALID      # SINHALA LETTER DANTAJA LAYANNA
0DBE..0DBF  ; UNASSIGNED  # <reserved>..<reserved>
0DC0..0DC6  ; PVALID      # SINHALA LETTER VAYANNA..SINHALA LETTER FAYAN
0DC7..0DC9  ; UNASSIGNED  # <reserved>..<reserved>
0DCA        ; PVALID      # SINHALA SIGN AL-LAKUNA
0DCB..0DCE  ; UNASSIGNED  # <reserved>..<reserved>
0DCF..0DD4  ; PVALID      # SINHALA VOWEL SIGN AELA-PILLA..SINHALA VOWEL
0DD5        ; UNASSIGNED  # <reserved>
0DD6        ; PVALID      # SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD7        ; UNASSIGNED  # <reserved>
0DD8..0DDF  ; PVALID      # SINHALA VOWEL SIGN GAETTA-PILLA..SINHALA VOW
0DE0..0DE5  ; UNASSIGNED  # <reserved>..<reserved>
0DE6..0DEF  ; PVALID      # SINHALA LITH DIGIT ZERO..SINHALA LITH DIGIT 
0DF0..0DF1  ; UNASSIGNED  # <reserved>..<reserved>
0DF2..0DF3  ; PVALID      # SINHALA VOWEL SIGN DIGA GAETTA-PILLA..SINHAL
0DF4        ; DISALLOWED  # SINHALA PUNCTUATION KUNDDALIYA
0DF5..0E00  ; UNASSIGNED  # <reserved>..<reserved>
0E01..0E32  ; PVALID      # THAI CHARACTER KO KAI..THAI CHARACTER SARA A
0E33        ; DISALLOWED  # THAI CHARACTER SARA AM
0E34..0E3A  ; PVALID      # THAI CHARACTER SARA I..THAI CHARACTER PHINTH
0E3B..0E3E  ; UNASSIGNED  # <reserved>..<reserved>
0E3F        ; DISALLOWED  # THAI CURRENCY SYMBOL BAHT
0E40..0E4E  ; PVALID      # THAI CHARACTER SARA E..THAI CHARACTER YAMAKK
0E4F        ; DISALLOWED  # THAI CHARACTER FONGMAN
0E50..0E59  ; PVALID      # THAI DIGIT ZERO..THAI DIGIT NINE
0E5A..0E5B  ; DISALLOWED  # THAI CHARACTER ANGKHANKHU..THAI CHARACTER KH
0E5C..0E80  ; UNASSIGNED  # <reserved>..<reserved>
0E81..0E82  ; PVALID      # LAO LETTER KO..LAO LETTER KHO SUNG
0E83        ; UNASSIGNED  # <reserved>
0E84        ; PVALID      # LAO LETTER KHO TAM
0E85        ; UNASSIGNED  # <reserved>
0E86..0E8A  ; PVALID      # LAO LETTER PALI GHA..LAO LETTER SO TAM
0E8B        ; UNASSIGNED  # <reserved>
0E8C..0EA3  ; PVALID      # LAO LETTER PALI JHA..LAO LETTER LO LING
0EA4        ; UNASSIGNED  # <reserved>
0EA5        ; PVALID      # LAO LETTER LO LOOT
0EA6        ; UNASSIGNED  # <reserved>
0EA7..0EB2  ; PVALID      # LAO LETTER WO..LAO VOWEL SIGN AA
0EB3        ; DISALLOWED  # LAO VOWEL SIGN AM
0EB4..0EBD  ; PVALID      # LAO VOWEL SIGN I..LAO SEMIVOWEL SIGN NYO
0EBE..0EBF  ; UNASSIGNED  # <reserved>..<reserved>
0EC0..0EC4  ; PVALID      # LAO VOWEL SIGN E..LAO VOWEL SIGN AI
0EC5        ; UNASSIGNED  # <reserved>
0EC6        ; PVALID      # LAO KO LA
0EC7        ; UNASSIGNED  # <reserved>
0EC8..0ECD  ; PVALID      # LAO TONE MAI EK..LAO NIGGAHITA
0ECE..0ECF  ; UNASSIGNED  # <reserved>..<reserved>
0ED0..0ED9  ; PVALID      # LAO DIGIT ZERO..LAO DIGIT NINE
0EDA..0EDB  ; UNASSIGNED  # <reserved>..<reserved>
0EDC..0EDD  ; DISALLOWED  # LAO HO NO..LAO HO MO
0EDE..0EDF  ; PVALID      # LAO LETTER KHMU GO..LAO LETTER KHMU NYO
0EE0..0EFF  ; UNASSIGNED  # <reserved>..<reserved>
0F00        ; PVALID      # TIBETAN SYLLABLE OM
0F01..0F0A  ; DISALLOWED  # TIBETAN MARK GTER YIG MGO TRUNCATED A..TIBET
0F0B        ; PVALID      # TIBETAN MARK INTERSYLLABIC TSHEG
0F0C..0F17  ; DISALLOWED  # TIBETAN MARK DELIMITER TSHEG BSTAR..TIBETAN 
0F18..0F19  ; PVALID      # TIBETAN ASTROLOGICAL SIGN -KHYUD PA..TIBETAN
0F1A..0F1F  ; DISALLOWED  # TIBETAN SIGN RDEL DKAR GCIG..TIBETAN SIGN RD
0F20..0F29  ; PVALID      # TIBETAN DIGIT ZERO..TIBETAN DIGIT NINE
0F2A..0F34  ; DISALLOWED  # TIBETAN DIGIT HALF ONE..TIBETAN MARK BSDUS R
0F35        ; PVALID      # TIBETAN MARK NGAS BZUNG NYI ZLA
0F36        ; DISALLOWED  # TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN
0F37        ; PVALID      # TIBETAN MARK NGAS BZUNG SGOR RTAGS
0F38        ; DISALLOWED  # TIBETAN MARK CHE MGO
0F39        ; PVALID      # TIBETAN MARK TSA -PHRU
0F3A..0F3D  ; DISALLOWED  # TIBETAN MARK GUG RTAGS GYON..TIBETAN MARK AN
0F3E..0F42  ; PVALID      # TIBETAN SIGN YAR TSHES..TIBETAN LETTER GA
0F43        ; DISALLOWED  # TIBETAN LETTER GHA
0F44..0F47  ; PVALID      # TIBETAN LETTER NGA..TIBETAN LETTER JA
0F48        ; UNASSIGNED  # <reserved>
0F49..0F4C  ; PVALID      # TIBETAN LETTER NYA..TIBETAN LETTER DDA
0F4D        ; DISALLOWED  # TIBETAN LETTER DDHA
0F4E..0F51  ; PVALID      # TIBETAN LETTER NNA..TIBETAN LETTER DA
0F52        ; DISALLOWED  # TIBETAN LETTER DHA
0F53..0F56  ; PVALID      # TIBETAN LETTER NA..TIBETAN LETTER BA
0F57        ; DISALLOWED  # TIBETAN LETTER BHA
0F58..0F5B  ; PVALID      # TIBETAN LETTER MA..TIBETAN LETTER DZA
0F5C        ; DISALLOWED  # TIBETAN LETTER DZHA
0F5D..0F68  ; PVALID      # TIBETAN LETTER WA..TIBETAN LETTER A
0F69        ; DISALLOWED  # TIBETAN LETTER KSSA
0F6A..0F6C  ; PVALID      # TIBETAN LETTER FIXED-FORM RA..TIBETAN LETTER
0F6D..0F70  ; UNASSIGNED  # <reserved>..<reserved>
0F71..0F72  ; PVALID      # TIBETAN VOWEL SIGN AA..TIBETAN VOWEL SIGN I
0F73        ; DISALLOWED  # TIBETAN VOWEL SIGN II
0F74        ; PVALID      # TIBETAN VOWEL SIGN U
0F75..0F79  ; DISALLOWED  # TIBETAN VOWEL SIGN UU..TIBETAN VOWEL SIGN VO
0F7A..0F80  ; PVALID      # TIBETAN VOWEL SIGN E..TIBETAN VOWEL SIGN REV
0F81        ; DISALLOWED  # TIBETAN VOWEL SIGN REVERSED II
0F82..0F84  ; PVALID      # TIBETAN SIGN NYI ZLA NAA DA..TIBETAN MARK HA
0F85        ; DISALLOWED  # TIBETAN MARK PALUTA
0F86..0F92  ; PVALID      # TIBETAN SIGN LCI RTAGS..TIBETAN SUBJOINED LE
0F93        ; DISALLOWED  # TIBETAN SUBJOINED LETTER GHA
0F94..0F97  ; PVALID      # TIBETAN SUBJOINED LETTER NGA..TIBETAN SUBJOI
0F98        ; UNASSIGNED  # <reserved>
0F99..0F9C  ; PVALID      # TIBETAN SUBJOINED LETTER NYA..TIBETAN SUBJOI
0F9D        ; DISALLOWED  # TIBETAN SUBJOINED LETTER DDHA
0F9E..0FA1  ; PVALID      # TIBETAN SUBJOINED LETTER NNA..TIBETAN SUBJOI
0FA2        ; DISALLOWED  # TIBETAN SUBJOINED LETTER DHA
0FA3..0FA6  ; PVALID      # TIBETAN SUBJOINED LETTER NA..TIBETAN SUBJOIN
0FA7        ; DISALLOWED  # TIBETAN SUBJOINED LETTER BHA
0FA8..0FAB  ; PVALID      # TIBETAN SUBJOINED LETTER MA..TIBETAN SUBJOIN
0FAC        ; DISALLOWED  # TIBETAN SUBJOINED LETTER DZHA
0FAD..0FB8  ; PVALID      # TIBETAN SUBJOINED LETTER WA..TIBETAN SUBJOIN
0FB9        ; DISALLOWED  # TIBETAN SUBJOINED LETTER KSSA
0FBA..0FBC  ; PVALID      # TIBETAN SUBJOINED LETTER FIXED-FORM WA..TIBE
0FBD        ; UNASSIGNED  # <reserved>
0FBE..0FC5  ; DISALLOWED  # TIBETAN KU RU KHA..TIBETAN SYMBOL RDO RJE
0FC6        ; PVALID      # TIBETAN SYMBOL PADMA GDAN
0FC7..0FCC  ; DISALLOWED  # TIBETAN SYMBOL RDO RJE RGYA GRAM..TIBETAN SY
0FCD        ; UNASSIGNED  # <reserved>
0FCE..0FDA  ; DISALLOWED  # TIBETAN SIGN RDEL NAG RDEL DKAR..TIBETAN MAR
0FDB..0FFF  ; UNASSIGNED  # <reserved>..<reserved>
1000..1049  ; PVALID      # MYANMAR LETTER KA..MYANMAR DIGIT NINE
104A..104F  ; DISALLOWED  # MYANMAR SIGN LITTLE SECTION..MYANMAR SYMBOL 
1050..109D  ; PVALID      # MYANMAR LETTER SHA..MYANMAR VOWEL SIGN AITON
109E..10C5  ; DISALLOWED  # MYANMAR SYMBOL SHAN ONE..GEORGIAN CAPITAL LE
10C6        ; UNASSIGNED  # <reserved>
10C7        ; DISALLOWED  # GEORGIAN CAPITAL LETTER YN
10C8..10CC  ; UNASSIGNED  # <reserved>..<reserved>
10CD        ; DISALLOWED  # GEORGIAN CAPITAL LETTER AEN
10CE..10CF  ; UNASSIGNED  # <reserved>..<reserved>
10D0..10FA  ; PVALID      # GEORGIAN LETTER AN..GEORGIAN LETTER AIN
10FB..10FC  ; DISALLOWED  # GEORGIAN PARAGRAPH SEPARATOR..MODIFIER LETTE
10FD..10FF  ; PVALID      # GEORGIAN LETTER AEN..GEORGIAN LETTER LABIAL 
1100..11FF  ; DISALLOWED  # HANGUL CHOSEONG KIYEOK..HANGUL JONGSEONG SSA
1200..1248  ; PVALID      # ETHIOPIC SYLLABLE HA..ETHIOPIC SYLLABLE QWA
1249        ; UNASSIGNED  # <reserved>
124A..124D  ; PVALID      # ETHIOPIC SYLLABLE QWI..ETHIOPIC SYLLABLE QWE
124E..124F  ; UNASSIGNED  # <reserved>..<reserved>
1250..1256  ; PVALID      # ETHIOPIC SYLLABLE QHA..ETHIOPIC SYLLABLE QHO
1257        ; UNASSIGNED  # <reserved>
1258        ; PVALID      # ETHIOPIC SYLLABLE QHWA
1259        ; UNASSIGNED  # <reserved>
125A..125D  ; PVALID      # ETHIOPIC SYLLABLE QHWI..ETHIOPIC SYLLABLE QH
125E..125F  ; UNASSIGNED  # <reserved>..<reserved>
1260..1288  ; PVALID      # ETHIOPIC SYLLABLE BA..ETHIOPIC SYLLABLE XWA
1289        ; UNASSIGNED  # <reserved>
128A..128D  ; PVALID      # ETHIOPIC SYLLABLE XWI..ETHIOPIC SYLLABLE XWE
128E..128F  ; UNASSIGNED  # <reserved>..<reserved>
1290..12B0  ; PVALID      # ETHIOPIC SYLLABLE NA..ETHIOPIC SYLLABLE KWA
12B1        ; UNASSIGNED  # <reserved>
12B2..12B5  ; PVALID      # ETHIOPIC SYLLABLE KWI..ETHIOPIC SYLLABLE KWE
12B6..12B7  ; UNASSIGNED  # <reserved>..<reserved>
12B8..12BE  ; PVALID      # ETHIOPIC SYLLABLE KXA..ETHIOPIC SYLLABLE KXO
12BF        ; UNASSIGNED  # <reserved>
12C0        ; PVALID      # ETHIOPIC SYLLABLE KXWA
12C1        ; UNASSIGNED  # <reserved>
12C2..12C5  ; PVALID      # ETHIOPIC SYLLABLE KXWI..ETHIOPIC SYLLABLE KX
12C6..12C7  ; UNASSIGNED  # <reserved>..<reserved>
12C8..12D6  ; PVALID      # ETHIOPIC SYLLABLE WA..ETHIOPIC SYLLABLE PHAR
12D7        ; UNASSIGNED  # <reserved>
12D8..1310  ; PVALID      # ETHIOPIC SYLLABLE ZA..ETHIOPIC SYLLABLE GWA
1311        ; UNASSIGNED  # <reserved>
1312..1315  ; PVALID      # ETHIOPIC SYLLABLE GWI..ETHIOPIC SYLLABLE GWE
1316..1317  ; UNASSIGNED  # <reserved>..<reserved>
1318..135A  ; PVALID      # ETHIOPIC SYLLABLE GGA..ETHIOPIC SYLLABLE FYA
135B..135C  ; UNASSIGNED  # <reserved>..<reserved>
135D..135F  ; PVALID      # ETHIOPIC COMBINING GEMINATION AND VOWEL LENG
1360..137C  ; DISALLOWED  # ETHIOPIC SECTION MARK..ETHIOPIC NUMBER TEN T
137D..137F  ; UNASSIGNED  # <reserved>..<reserved>
1380..138F  ; PVALID      # ETHIOPIC SYLLABLE SEBATBEIT MWA..ETHIOPIC SY
1390..1399  ; DISALLOWED  # ETHIOPIC TONAL MARK YIZET..ETHIOPIC TONAL MA
139A..139F  ; UNASSIGNED  # <reserved>..<reserved>
13A0..13F5  ; PVALID      # CHEROKEE LETTER A..CHEROKEE LETTER MV
13F6..13F7  ; UNASSIGNED  # <reserved>..<reserved>
13F8..13FD  ; DISALLOWED  # CHEROKEE SMALL LETTER YE..CHEROKEE SMALL LET
13FE..13FF  ; UNASSIGNED  # <reserved>..<reserved>
1400        ; DISALLOWED  # CANADIAN SYLLABICS HYPHEN
1401..166C  ; PVALID      # CANADIAN SYLLABICS E..CANADIAN SYLLABICS CAR
166D..166E  ; DISALLOWED  # CANADIAN SYLLABICS CHI SIGN..CANADIAN SYLLAB
166F..167F  ; PVALID      # CANADIAN SYLLABICS QAI..CANADIAN SYLLABICS B
1680        ; DISALLOWED  # OGHAM SPACE MARK
1681..169A  ; PVALID      # OGHAM LETTER BEITH..OGHAM LETTER PEITH
169B..169C  ; DISALLOWED  # OGHAM FEATHER MARK..OGHAM REVERSED FEATHER M
169D..169F  ; UNASSIGNED  # <reserved>..<reserved>
16A0..16EA  ; PVALID      # RUNIC LETTER FEHU FEOH FE F..RUNIC LETTER X
16EB..16F0  ; DISALLOWED  # RUNIC SINGLE PUNCTUATION..RUNIC BELGTHOR SYM
16F1..16F8  ; PVALID      # RUNIC LETTER K..RUNIC LETTER FRANKS CASKET A
16F9..16FF  ; UNASSIGNED  # <reserved>..<reserved>
1700..170C  ; PVALID      # TAGALOG LETTER A..TAGALOG LETTER YA
170D        ; UNASSIGNED  # <reserved>
170E..1714  ; PVALID      # TAGALOG LETTER LA..TAGALOG SIGN VIRAMA
1715..171F  ; UNASSIGNED  # <reserved>..<reserved>
1720..1734  ; PVALID      # HANUNOO LETTER A..HANUNOO SIGN PAMUDPOD
1735..1736  ; DISALLOWED  # PHILIPPINE SINGLE PUNCTUATION..PHILIPPINE DO
1737..173F  ; UNASSIGNED  # <reserved>..<reserved>
1740..1753  ; PVALID      # BUHID LETTER A..BUHID VOWEL SIGN U
1754..175F  ; UNASSIGNED  # <reserved>..<reserved>
1760..176C  ; PVALID      # TAGBANWA LETTER A..TAGBANWA LETTER YA
176D        ; UNASSIGNED  # <reserved>
176E..1770  ; PVALID      # TAGBANWA LETTER LA..TAGBANWA LETTER SA
1771        ; UNASSIGNED  # <reserved>
1772..1773  ; PVALID      # TAGBANWA VOWEL SIGN I..TAGBANWA VOWEL SIGN U
1774..177F  ; UNASSIGNED  # <reserved>..<reserved>
1780..17B3  ; PVALID      # KHMER LETTER KA..KHMER INDEPENDENT VOWEL QAU
17B4..17B5  ; DISALLOWED  # KHMER VOWEL INHERENT AQ..KHMER VOWEL INHEREN
17B6..17D3  ; PVALID      # KHMER VOWEL SIGN AA..KHMER SIGN BATHAMASAT
17D4..17D6  ; DISALLOWED  # KHMER SIGN KHAN..KHMER SIGN CAMNUC PII KUUH
17D7        ; PVALID      # KHMER SIGN LEK TOO
17D8..17DB  ; DISALLOWED  # KHMER SIGN BEYYAL..KHMER CURRENCY SYMBOL RIE
17DC..17DD  ; PVALID      # KHMER SIGN AVAKRAHASANYA..KHMER SIGN ATTHACA
17DE..17DF  ; UNASSIGNED  # <reserved>..<reserved>
17E0..17E9  ; PVALID      # KHMER DIGIT ZERO..KHMER DIGIT NINE
17EA..17EF  ; UNASSIGNED  # <reserved>..<reserved>
17F0..17F9  ; DISALLOWED  # KHMER SYMBOL LEK ATTAK SON..KHMER SYMBOL LEK
17FA..17FF  ; UNASSIGNED  # <reserved>..<reserved>
1800..180E  ; DISALLOWED  # MONGOLIAN BIRGA..MONGOLIAN VOWEL SEPARATOR
180F        ; UNASSIGNED  # <reserved>
1810..1819  ; PVALID      # MONGOLIAN DIGIT ZERO..MONGOLIAN DIGIT NINE
181A..181F  ; UNASSIGNED  # <reserved>..<reserved>
1820..1878  ; PVALID      # MONGOLIAN LETTER A..MONGOLIAN LETTER CHA WIT
1879..187F  ; UNASSIGNED  # <reserved>..<reserved>
1880..18AA  ; PVALID      # MONGOLIAN LETTER ALI GALI ANUSVARA ONE..MONG
18AB..18AF  ; UNASSIGNED  # <reserved>..<reserved>
